,video_id,comments
20,3yX2kB1gxAw,"['Cipung km kok lucuuu sekaliiiii', 'lucu bgt liat keanu sm mama gigi 🥺🥺', 'Wallpaper nya kak gigi foto cipung cimol🥰🥰', 'Masya allah cantik nya akuh💖bahagia selalu ya kak gigi', 'Keanu tu lucu suka banget kalo bilang DINASTI 🤣🤣🤣🤣🤣', 'Waw kampung nya Maria ozawa', 'Seharusnya kalau mau nyobain buah, datang ketempat kenalan Jerome aja, bilang kami kenalan Jerome.\n\nPasti dikasih buah gratis, sembari makan es krim disitu wkwkwk\n\nDitambah artis terkenal juga wkwk', 'Sip......', 'Mudah2an rans diberkahi rezeki jadi bisa rans the world lagi Aamiin', 'Paling suka deh klo vlog jalan2 ke luar negeri kek gini.. seru bgtttt.. durasinya jgn sebentar2 dong 😂']"
21,ifZaayMNe9A,"['7:22', '😍😍😍', 'Gimana ngga lancar rizkinya, baik banget semua kaya keluarga di anggepnya, apa yg dibeli, dimakan, semua juga ngerasain, masyaaAllah', '7.13 mama gigi gak minum kopiinyaaaa 😭😭😂😂🥰🥰', 'kok kopinya gaada isinya 😭😭🤣', 'Minum kopinya keliatan bgt botol kosong mamagi🤣🤣😭😭😭', 'Kesini gara gara liat tiktok, mama gigi minum anginn wkwkwk', '""males ah kalo ngantri"" tapi nitip yang rasa vanilla ""mamah kan baik"" et deh bocah ya wkwk', '49 rb lg menuju 1jt viewer cuzzz yuuuk', 'berasa studytour wkwkwk tapi seru bngttt']"
22,lSqjVoLsUlk,"['Masya Allah TabarakAllah', 'om merry selalu bisa diandalkan..', 'Di setiap peron biasanya ada lift untuk barang, bayi, atau di fabel ke hadiah naik turun tangga', 'Si pungci😂', 'Om merry kayanya kerjanya brat banget yaaa. Semangat om, selalu setia sama aa❤', '🤣🤣🤣Cipung jngn usil.. 😂', 'amin❤️❤️❤️', 'sus Rini makin glowing makin keren 😍😍😍', 'Hatiku hampir copot sus.aku kira mau jatuh dd rayanza', 'Mba Sus Rini Tambah Cantik MaaSyaAllah Selama jadi Pengasuh Rayanza Sehat Selalu Sus']"
23,3KReAjHysNw,"['Cakep banget dah', 'Seruu', 'Buset dah ni anak makin lama makin ganteng ya', 'Kpn bisa ketemu asli yah', 'MashaAllah Tabarakallah Aa cakepnyaaa', 'Aa ganteng bngt sih a..😘', 'Klo kita org yg kena angin luar langsung pucet 🤣macam anemia 🤣', 'Siwon ❤', '1/2th lagi rafathar tingginya sama kek lala', 'Ganteng kali adek aku ini kaya orang Korea...']"
24,yurtzvFd_TI,"['😅', 'Disini kok gk ada rafii yah?dah muncul gosip itu kah disini', 'Aa raffinya kmna?', 'Manis manis semua y mba gigi,,,o iya gula Jawa ada ngga hehehe,,,,.sukses selalu mba biar saya kecipretan juga amin.', 'duit nagita bener bener gaada serinya kayaknya', 'Uwenake ya Alloh\nAlhamdulillah', 'Sipp', 'Rans is the best', 'GEREGET BANGETT LIAT SI FADIL GA BERENTI NGOMONG TERUS MANA NGE BLOCK KAMERA BAE LAGI. KAN JADI KEHALANG, Seharusnya tau diri lah yaa jangan mentang² ka gigi baik hati dan tidak sombong jadi kita semena mena dan semau gue, TAU DIRI itu haruss. Udah mah gratis malah ga tau diri', 'punya banyak uang maw kita mau kemana bagaimana jha punk terbuka lebar. beda sma kita2 yg modalkan youtibe untuk liht² keseruhannya sultan andara dan sekeluarga. yg pasti sellu suport...🎉']"
25,nYh_1njvncw,"['Masya Allah TabarakAllah', 'Bayi bukan sembarang bayi😩', 'Pungciiiii.... nggemesin ❤️❤️', 'Papaaaahh...kaca matanyaa pinjam dong paahhh...😅😅😅', 'MasyaAllah… manjanya pung sm papahh … papahhhh ,, tayang tayanggg (sayang) … terharu aku tuhh .. kangen papa ya rayyanzaa❤️❤️❤️❤️', 'Ak skli2 cus rini di prank donk ak pasti seru tuh', 'Dimana ada cipung disitu ada fitria Alkatiri 🥰', '🤣🤣🤣cipung dh pandai melaram mahu pakai kaca mata......jadi org dewasa......', '😂😂', 'Ade rayyanja......amalkan sdikit rejeki nya 😥']"
26,KjE0kmauMRo,"['Masya Allah TabarakAllah', 'Seneng ya kerja ikut mbak Gigi yang macan alias manis dan cantik baik hati', 'Om merrry sma mbk sus rini cocok  serasi ,,jika jodoh ,,tpi mbk sus rini punxa suami lom ya hehehe ,,,,apa lgi punxa bos kyak mbk gigi n aa rafi gkda duax baikx sgat baik sskli', 'Semoga betah susu runi..sama rayanshah.aminnn', 'Akuudah 😢', 'Wow', 'Alhamdulillllah ya sus rèzeki anak soleh', 'Masya Allah banget sus Rini, Karena emang sebelumnya dah pengalaman kerja sama orang kaya, dan sering ke LN jalan jalan, bedanya ini orang terkenal, tapi Sus Rini gak star syndrom meski udah punya banyak fans, biasa aja dia mah, datar dan santai Masya Allah.', 'Semoga sus Rini menjadi sus kesayangan Cipung sampai besar nanti seperti Mbak Lala ... Aamiin 🤲🥰', 'Sus rini tambah cantik aj']"
27,mh7oppUdqmA,"['54 ribu lagi 1 juta viewer 👍 Yo ayo', 'Fadil dimana mana tetep lawak plisss deh😭🤣\nFadil ke kameramen : maafin ya soalnya ga kuliah, untung Keanu lawak juga jadi ketawa🤣', 'Sama sama ke Jepang tpi bedanya rafatar ga bikin konten beli ini harganya segini menarikkk cuakkss', 'selalu seru bareng jalan mbak gigi', 'Sippp', 'Buka pintu 1,4 juta kata si Ibnu flexing hahahaha... Hajar terus bos sikatttt', 'Rans is the best', 'ada yg tau nama tempat abura soba nya apa??', 'aku nontonnya selalu full senyum ❤❤', '""buka pintu harga nya brp mba""😭🤣']"
28,mDockZPfwxs,"['Masya Allah TabarakAllah', 'Ya ampun LALAAA..diet kek😀😂', 'Aa makin ganteng aja, semoga anak2 Bang Rafi Sholeh semuanya aamiin yaa Allah', 'Ya Allah.\nSehat selalu mba lala Dan sus rini biar bisa bahagia terus sm cipung n aa', 'ko bisa pas banget pasangannya rafathar mba lala, rayanza sus rini..', 'Rafi memang baik pantas susternya PD betah', 'AA udah gede', 'Sus  nya masalloh pda nyaman sama bu gigi bok rafi kalo sus nya kiano kenvo  ko ganti""terus  kenpa yahh', 'Maksih', 'Rafatar orgx gk gampang suka sm org, apa lg yg mau main sok akrab gitu sm dia, Rafatar aslix penyayang ❤']"
29,FyohpeNQ_Cw,"['Sipppp', 'Mbak lala mana? Sudah bersamamu aku tak terpisahkan xD wkwkwk', 'ka alshad kek lgi nge bagiin buku tabungan murid🤣😭', 'Kngn thun lalu rans world', 'kameramenny kren bngt', 'Disini jdi tau cara makannya gmna wwkkw walaupun gatau kapan ke jepangnya hahahha😂😂😂', 'Serasa lagi ikut liburan', 'cipunggg', 'Pak abrarabs gak ikut yya ?', 'Ni hu by']"
